id,SpecificationName,SpecificationValue,ShowInFilter,CategoryId,ProductId,SpecificationId
1105,,Android,1,6,5,17
1106,,16.6 centimeters,0,6,5,18
1107,,128GB,1,6,5,19
1108,,380 grams,1,6,5,20
1109,,Dual SIM,1,6,5,21
1110,,Smartphone,1,6,5,22
1111,,4G LTE,0,6,5,23
1112,,Samsung Exynos,1,6,5,24
1113,,A515F ,1,6,5,25
1114,,8806090243554,1,6,5,26
1115,,3000 - 4000 milliampere_hour,1,6,5,27
1116,,No,1,6,5,28
1117,,UPC-A,1,6,5,29
1118,,8806090243554,1,6,5,30
1119,,48 MP,1,6,5,31
1120,,6.5 Inches,1,6,5,32
1122,,5.4 centimeters,0,6,5,7
1123,,8 centimeters,0,6,5,8
1124,,Samsung,1,6,16,33
1125,,Android,1,6,16,17
1126,,17.4 centimeters,0,6,16,18
1127,,1TB,1,6,16,19
1128,,440 grams,1,6,16,20
1129,,Dual SIM,1,6,16,21
1130,,Smartphone,1,6,16,22
1131,,4G LTE,0,6,16,23
1132,,Samsung Exynos,1,6,16,24
1133,,SM-G975FCWHXSG,1,6,16,25
1134,,8801643720261,1,6,16,26
1135,,4000 - 5000 mAH,1,6,16,27
1136,,No,1,6,16,28
1137,,UPC-A,1,6,16,29
1138,,8801643720261,1,6,16,30
1139,,12 MP AND 12 MP AND 16 MP,1,6,16,31
1140,,6.3 Inch,1,6,16,32
1142,,5.4 centimeters,0,6,16,7
1143,,9 centimeters,0,6,16,8
1155,,Black,,4,17,1
1156,,4GB,,4,17,10
1157,,450gm,,4,17,16
1158,,Core I-7,,4,17,9
1159,,14 inches,,4,17,12
1160,,GTX 1660 Ti ,,4,17,2
1161,,USB 3.2,,4,17,15
1162,,PCIe & Serial ATA,,4,17,3
1163,,"DDR4
",,4,17,5
1164,,Gaming,1,4,17,14
1165,,DVD-Writer,,4,17,6
1166,,No,,4,17,13
1167,,English & Arabic,,4,17,4
1168,,5.4 centimeters,,4,17,7
1169,,10.6 centimeters,,4,17,8
1170,,ddr4_sdram,,4,17,11
1171,Brand,HP,1,4,1,33
1172,,Lenovo,1,4,2,33
1173,,Dell,1,5,3,33
1174,,Dell,1,5,4,33
1176,,G-Tab,1,7,28,33
1177,,Android,1,7,28,17
1178,,14.4 centimeters,0,7,28,18
1179,,8 GB,,7,28,19
1180,,580 grams,0,7,28,20
1181,,Without SIM,,7,28,21
1182,,No,0,7,28,22
1183,,No,0,7,28,23
1184,,MediaTek,0,7,28,24
1185,,Q88,0,7,28,25
1186,,2725505983273,0,7,28,26
1187,,4000 - 5000 milliampere_hour,1,7,28,27
1188,,No,0,7,28,28
1190,,6952388088115,0,7,28,30
1191,,2 - 5 MP,1,7,28,31
1192,,7 Inch,1,7,28,32
1193,,White,1,7,28,1
1194,,Huawei,1,7,29,33
1195,,Android,1,7,29,17
1196,,14.4 centimeters,0,7,29,18
1197,,16 GB,1,7,29,19
1199,,Single SIM,1,7,29,21
1200,,No,0,7,29,22
1201,,LTE,0,7,29,23
1202,,MediaTek,0,7,29,24
1203,,Q88,0,7,29,25
1204,,2725550984812,0,7,29,26
1205,,3000 milliampere_hour & above,1,7,29,27
1206,,No,,7,29,28
1208,,6972453161543,0,7,29,30
1209,,2 - 5 MP,1,7,29,31
1210,,8 Inch,1,7,29,32
1211,,Blue,1,7,29,1
1212,,Alcatel,1,7,30,33
1213,,Android,1,7,30,17
1214,,19.4 centimeters,0,7,30,18
1215,,16 GB,1,7,30,19
1216,,484 grams,0,7,30,20
1217,,Single SIM,1,7,30,21
1219,,3G,0,7,30,23
1220,,MediaTek,0,7,30,24
1221,,1T,0,7,30,25
1222,,2725079598378,0,7,30,26
1223,,2000 - 3000 milliampere_hour,1,7,30,27
1224,,No,0,7,30,28
1226,,4894461788425,0,7,30,30
1227,,2 - 5 MP,1,7,30,31
1228,,7 Inch,1,7,30,32
1229,,Prime Black,1,7,30,1
1230,,Mtouch,1,7,31,33
1231,,Android 7.1 Nougat,1,7,31,17
1232,,19.4 centimeters,0,7,31,18
1233,,1 GB,1,7,31,19
1235,,Without SIM,1,7,31,21
1236,,No,0,7,31,23
1237,,MediaTek,0,7,31,24
1238,,M1,0,7,31,25
1239,,2725515304822,0,7,31,26
1240,,2000 - 3000 milliampere_hour,1,7,31,27
1241,,No,0,7,31,28
1242,,3553110920519,0,7,31,30
1243,,2 - 5 MP,1,7,31,31
1244,,7 Inch,1,7,31,32
1245,,White,1,7,31,1
1246,,iKu,1,7,32,33
1247,,Android,1,7,32,17
1248,,21.4 centimeters,0,7,32,18
1249,,"1 GB
",1,7,32,19
1250,,706 grams,0,7,32,20
1251,,Single SIM,1,7,32,21
1252,,2G/3G,0,7,32,23
1254,,T3,0,7,32,25
1255,,2724948039875,0,7,32,26
1256,,2000 - 3000 milliampere_hour,1,7,32,27
1257,,No,0,7,32,28
1258,,6291107094311,0,7,32,30
1259,,Less than 2 MP,1,7,32,31
1260,,7 Inch,1,7,32,32
1261,,Silver,1,7,32,1
1262,,Sary,1,7,33,33
1263,,Windows,1,7,33,17
1265,,32 GB,1,7,33,19
1267,,Without SIM,1,7,33,21
1268,,No,0,7,33,23
1269,,Tab 2,0,7,33,25
1270,,2724336767984,0,7,33,26
1275,,10 Inch & Above,1,7,33,32
1276,,Black,1,7,33,1
1277,,LG,1,8,34,33
1278,,Smart TV,1,8,34,34
1279,,Yes,0,8,34,35
1280,,25 centimeters,0,8,34,18
1281,,Full HD,1,8,34,36
1282,,1920x1080,1,8,34,37
1283,,LED,1,8,34,38
1284,,43LK5730,0,8,34,25
1285,,75 centimeters,0,8,34,7
1286,,65 centimeters,0,8,34,8
1287,,2724623354057,0,8,34,26
1288,,43 Inch,1,8,34,32
1289,,Black,1,8,34,1
1290,,Samsung,1,8,35,33
1291,,Smart TV,1,8,35,34
1292,,Yes,0,8,35,35
1293,,15 centimeters,0,8,35,18
1294,,Full HD,1,8,35,36
1295,,1920x1080,1,8,35,37
1296,,LED,1,8,35,38
1297,,UA40T5300AUXEG,0,8,35,25
1298,,120 centimeters,0,8,35,7
1299,,60 centimeters,0,8,35,8
1300,,2725539753897,0,8,35,26
1301,,40 Inch,1,8,35,32
1302,,Black,1,8,35,1
1303,,25000 grams,0,8,35,20
1304,,25000 grams,0,8,34,20
1305,,Jac,1,8,36,33
1306,,Standard TV,1,8,36,34
1307,,Yes,0,8,36,35
1308,,"14 centimeters
",0,8,36,18
1309,,Full HD,1,8,36,36
1310,,1920x1080,1,8,36,37
1311,,LED,1,8,36,38
1312,,43P,0,8,36,25
1313,,"66 centimeters
",0,8,36,7
1314,,102 centimeters,0,8,36,8
1315,,2725450334342,0,8,36,26
1316,,40 Inch,1,8,36,32
1317,,Black,1,8,36,1
1318,,12000 grams,0,8,36,20
2155,,Aeropostale,1,1102,1021,33
2156,,: T-Shirt,1,1102,1021,34
2157,,Mixed Materials,1,1102,1021,35
2158,,M,1,1102,1021,36
2159,,New Bor,1,1102,1022,33
2160,,Round neck,1,1102,1022,34
2161,,Raw trims,1,1102,1022,35
2162,,Slim fit,1,1102,1022,36
2163,,New Bor,1,1102,1023,33
2164,,Shirt,1,1102,1023,34
2165,,Cotto,1,1102,1023,35
2166,,XL,1,1102,1023,36
2167,,New Bor,1,1102,1024,33
2168,,Shirt,1,1102,1024,34
2169,,Cotto,1,1102,1024,35
2170,,XL,1,1102,1024,36
2171,,YaFex,1,1035,1032,33
2172,,6 centimeters,0,1035,1032,33
2173,,180 grams,0,1035,1032,16
2174,,Tripod,1,1035,1032,1035
2175,,Lenovo,,6,13,33
2176,,android 7,,6,13,17
2177,,7 inches,,6,13,32
2178,,2,,6,13,21
2179,,32 GB,,6,13,19
2180,,16 PX,,6,13,31
2181,,4000 mph,,6,13,27
2182,,1352495265004,,6,13,25
